Job ID	NewLB	Summed CPLength	Summed TWork
553674	210959	4202	1661.6254166666668
553679	607	83	4.9513
553982	131	47	0.9242041666666667
554840	53280	29929	523.0442708333334
556743	525094	27676	19180.0275
557214	8472	989	243.21229166666666
558480	145	145	1.1321875
558591	335	116	2.8649124999999995
558740	765	765	0.026354166666666665
559272	25709	341	117.45840000000001
559891	810	810	0.15135416666666668
561666	27973	8770	641.7379166666667
561802	721205	9853	21112.959270833333
563315	41	41	0.21156250000000001
564567	335	115	2.9707333333333334
565103	34	34	0.0940625
565189	452102	34124	19355.404270833333
565235	45	45	0.25427083333333333
566009	71584	3111	1018.1790833333333
567774	28869	379	133.8065
569242	3184	2509	28.739012499999998
570853	36	36	0.064375
570976	33	33	0.15552083333333333
571161	26814	556	447.25829999999996
571643	208	208	3.1338541666666666
572047	37429	513	169.39560000000003
572359	31523	417	142.82455416666667
572451	27414	426	120.78487916666668
572691	2253	40	24.07825
572969	38209	612	171.8121
574019	43	43	0.18947916666666664
574399	837	277	6.1897
574574	3097	50	30.568170833333333
574678	16551	4053	275.36822916666665
575496	1096	159	11.6005
575837	2124	589	12.401900000000001
576081	106	106	0.7025
577229	28890	3587	603.4523958333334
577896	2533	633	176.52135416666667
578412	29062	387	146.346
578653	27952	362	126.75922500000001
578902	11767	1766	327.04322916666666
581043	32	32	0.12927083333333333
581099	311	107	2.808758333333333
582163	52	52	0.2678125
582676	1267	145	11.125300000000003
583354	30473	421	144.9266
584025	26402	615	429.1442
584144	647	647	0.16083333333333333
584253	29	29	0.055625
584697	32	32	0.15270833333333333
584749	30614	425	139.8054
585272	8069	978	242.51322916666666
585937	17653	807	531.4228125000001
586293	416	151	2.0134
589527	13890	8181	179.98729166666666
589535	82250	1821	1401.8156
592446	32556	575	1049.8070833333334
592996	39727	632	177.3942
593346	38	38	0.07885416666666667
593509	54	54	0.428125
594171	266	266	0.1625
594327	9374	1040	250.28604166666665
595026	139139	1181	2390.7751041666666
595057	34741	462	155.46644583333335
595079	9037	1607	20.076041666666665
596317	14671	4242	313.84197916666665
597002	36	36	0.176875
597299	334	114	2.9970416666666666
597804	24756	1236	18.1046
598180	33	33	0.12239583333333334
599328	26179	546	447.69939999999997
599347	197	57	1.262
600846	252	252	3.884479166666667
600851	12143	2406	332.92104166666667
601136	175	54	1.0835625
601930	21565	1117	13.234699999999998
603206	192	192	0.4453125
603790	1325	123	12.5123
605154	13702	9325	183.55822916666668
605211	36483	585	162.72280000000003
